id;type;x;y;extrapolate
0x00000201362FDB00;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD518;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD668;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDB38;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDBE0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDC50;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDC18;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDB70;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDBA8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDC88;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDD30;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDCC0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDCF8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD8D0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD940;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD978;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD908;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDD68;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDFD0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDDA0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDDD8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDE48;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDE80;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDE10;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDEB8;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDEF0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDF60;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDF98;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FDF28;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD7F0;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD828;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD860;char_line;[0.0, 1.0];[1.0, 1.0];False
0x00000201362FD7B8;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x0000020135CAADD8;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x0000020135CAAF98;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x000002011223A240;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x00000201357374E0;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x000002013535B2B0;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x000002013535B390;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
0x0000020135CDE5C0;char_line;[0.0, 0.01084, 0.03655, 0.07779, 0.13389, 0.20417, 0.28796, 0.38458, 0.49337, 0.61364, 0.74473, 0.88595, 1.0, 1.19613, 1.36374, 1.53879, 1.72061, 1.90854, 2.10189, 2.29999, 2.50217, 2.70776, 2.91608, 3.0];[0.01, 0.09598, 0.18995, 0.28191, 0.37185, 0.45974, 0.54557, 0.62932, 0.71098, 0.79053, 0.86796, 0.94324, 1.0, 1.0873, 1.15605, 1.22259, 1.28691, 1.34898, 1.40879, 1.46633, 1.52157, 1.5745, 1.62511, 1.645];False
