label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
consumer5;heat_exchanger_simple;['network consumer'];[None];[-5000.0];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-5000.0;True;False;0.8831715907383697;False;False;31530192487.33777;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2390;False;m;nan;False;-14.730163064657553;False;nan;False;nan;False;default;default;default
consumer15;heat_exchanger_simple;['network consumer'];[None];[-40000.0];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-40000.0;True;False;0.8471799754667197;False;False;498043505.95168895;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B24E0;False;m;nan;False;-117.82131000323454;False;nan;False;nan;False;default;default;default
consumer17;heat_exchanger_simple;['network consumer'];[None];[-14500.000000000004];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-14500.000000000004;True;False;0.8554105720000142;False;False;3370427694.2142353;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2518;False;m;nan;False;-42.78712294980156;False;nan;False;nan;False;default;default;default
consumer21;heat_exchanger_simple;['network consumer'];[None];[-17500.000000000004];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-17500.000000000004;True;False;0.8795227651331778;False;False;2776396943.8284416;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B24A8;False;m;nan;False;-51.49313212701221;False;nan;False;nan;False;default;default;default
consumer22;heat_exchanger_simple;['network consumer'];[None];[-9999.999999999998];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-9999.999999999998;True;False;0.8793849035069682;False;False;8146908734.296928;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2828;False;m;nan;False;-29.444949548683777;False;nan;False;nan;False;default;default;default
consumer24;heat_exchanger_simple;['network consumer'];[None];[-6000.000000000001];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-6000.000000000001;True;False;0.8792435868892428;False;False;21788790789.217907;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2550;False;m;nan;False;-17.67755947221024;False;nan;False;nan;False;default;default;default
consumer26;heat_exchanger_simple;['network consumer'];[None];[-4999.999999999998];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-4999.999999999998;True;False;0.8780180037660367;False;False;29931608614.708546;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2400;False;m;nan;False;-14.742049996658649;False;nan;False;nan;False;default;default;default
consumer28;heat_exchanger_simple;['network consumer'];[None];[-5999.999999999997];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-5999.999999999997;True;False;0.8759437249269397;False;False;21265650411.28002;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2588;False;m;nan;False;-17.684251710760783;False;nan;False;nan;False;default;default;default
consumer30;heat_exchanger_simple;['network consumer'];[None];[-4000.000000000002];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-4000.000000000002;True;False;0.87511238755488;False;False;43077239028.06562;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B23C8;False;m;nan;False;-11.808177455975756;False;nan;False;nan;False;default;default;default
consumer32;heat_exchanger_simple;['network consumer'];[None];[-2500.0];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-2500.0;True;False;0.8743521646003874;False;False;95952380268.61003;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B27B8;False;m;nan;False;-7.394674120979739;False;nan;False;nan;False;default;default;default
consumer34;heat_exchanger_simple;['network consumer'];[None];[-6000.0];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-6000.0;True;False;0.8741863881593036;False;False;19651671925.975143;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2898;False;m;nan;False;-17.70543997171115;False;nan;False;nan;False;default;default;default
consumer36;heat_exchanger_simple;['network consumer'];[None];[-3999.999999999999];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-3999.999999999999;True;False;0.8714983093379479;False;False;40617513102.717354;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2908;False;m;nan;False;-11.818220793067242;False;nan;False;nan;False;default;default;default
consumer38;heat_exchanger_simple;['network consumer'];[None];[-2499.9999999999995];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-2499.9999999999995;True;False;0.8713109197343898;False;False;89593249973.67839;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2978;False;m;nan;False;-7.401488857924735;False;nan;False;nan;False;default;default;default
consumer40;heat_exchanger_simple;['network consumer'];[None];[-12500.000000000002];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-12500.000000000002;True;False;0.870518743580316;False;False;4569433075.636159;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B29E8;False;m;nan;False;-36.88130079206583;False;nan;False;nan;False;default;default;default
consumer42;heat_exchanger_simple;['network consumer'];[None];[-6000.0];['0x0000020135CDE668'];['component'];[];[];nan;False;False;-6000.0;True;False;0.8709983811067366;False;False;17366722124.718277;False;False;1;False;False;1;False;False;0.0001;False;False;1;False;False;0x00000201353B2A58;False;m;nan;False;-17.73701266656884;False;nan;False;nan;False;default;default;default
