label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
pipe1_feed;pipe;['network losses'];[None];[-642.3926257151686];['0x0000020135375390'];['component'];[];[];nan;False;False;-642.3926257151686;False;False;0.9982922643881866;False;False;471916.8095941969;False;False;0.0697;True;False;29.427877939124322;True;False;0.00017;True;False;8.034444287172352;True;False;0x00000201362FD7B8;False;m;0;True;-1.8137234514853233;False;2.351794346385388;False;0.5380708949000645;False;default;default;default
pipe1_back;pipe;['network losses'];[None];[-422.8300699003601];['0x0000020135375390'];['component'];[];[];nan;False;False;-422.8300699003601;False;False;0.9974773542326103;False;False;484507.1647424561;False;False;0.0697;True;False;29.427877939124322;True;False;0.00017;True;False;8.034444287169462;True;False;0x0000020135CAADD8;False;m;0;True;-1.2919259943414092;False;1.5479775577534693;False;0.25605156341206015;False;default;default;default
pipe2_feed;pipe;['network losses'];[None];[-680.6249083666215];['0x0000020135375390'];['component'];[];[];nan;False;False;-680.6249083666215;False;False;0.9974467542267081;False;False;704402.2058568661;False;False;0.0697;True;False;30.14962686336267;True;False;0.00069;True;False;8.522527293296779;True;False;0x0000020135CAAF98;False;m;0;True;-1.9197725768526839;False;2.4917624322409724;False;0.5719898553882885;False;default;default;default
pipe3_feed;pipe;['network losses'];[None];[-679.8144625695298];['0x0000020135375390'];['component'];[];[];nan;False;False;-679.8144625695298;False;False;0.9901078576144908;False;False;2722286.114053798;False;False;0.0697;True;False;116.51609330903607;True;False;0.00069;True;False;8.522527293292924;True;False;0x000002011223A240;False;m;0;True;-1.894275681952942;False;2.4887953965569465;False;0.5945197146040044;False;default;default;default
pipe6_feed;pipe;['network losses'];[None];[-580.4123313253177];['0x0000020135375390'];['component'];[];[];nan;False;False;-580.4123313253177;False;False;0.9942463362310063;False;False;12853966.014963143;False;False;0.036;True;False;16.0312195418814;True;False;0.00069;True;False;7.291367744887994;True;False;0x00000201357374E0;False;m;0;True;-1.6389420367949135;False;2.1248849764792888;False;0.4859429396843753;False;default;default;default
pipe7_feed;pipe;['network losses'];[None];[-578.7317399200231];['0x0000020135375390'];['component'];[];[];nan;False;False;-578.7317399200231;False;False;0.9503362947815737;False;False;110328080.0555988;False;False;0.036;True;False;137.59360450253493;True;False;0.00069;True;False;7.291367744887487;True;False;0x000002013535B2B0;False;m;0;True;-1.5864078793723702;False;2.118732344572664;False;0.5323244652002936;False;default;default;default
pipe18_feed;pipe;['network losses'];[None];[-610.2355592912244];['0x0000020135375390'];['component'];[];[];nan;False;False;-610.2355592912244;False;False;0.9904439008068951;False;False;6716953.338192982;False;False;0.0419;True;False;19.0;True;False;0.00069;True;False;7.674025442366376;True;False;0x000002013535B390;False;m;0;True;-1.7115950088182303;False;2.234067579319877;False;0.5224725705016466;False;default;default;default
pipe19_feed;pipe;['network losses'];[None];[-609.1809896927448];['0x0000020135375390'];['component'];[];[];nan;False;False;-609.1809896927448;False;False;0.986450960131249;False;False;9433365.640212867;False;False;0.0419;True;False;26.68332812825267;True;False;0.00069;True;False;7.674025442364574;True;False;0x0000020135CDE5C0;False;m;0;True;-1.701694810674078;False;2.230206808320501;False;0.5285119976464232;False;default;default;default
pipe8_feed;pipe;['network losses'];[None];[-577.0576034076779];['0x0000020135375390'];['component'];[];[];nan;False;False;-577.0576034076779;False;False;0.9901405867013536;False;False;20817808.104239076;False;False;0.036;True;False;25.96150997149434;True;False;0.00069;True;False;7.291367744887822;True;False;0x0000020135CDE898;False;m;0;True;-1.6275716507992093;False;2.1126033439783196;False;0.4850316931791103;False;default;default;default
pipe9_feed;pipe;['network losses'];[None];[-575.368095948149];['0x0000020135375390'];['component'];[];[];nan;False;False;-575.368095948149;False;False;0.995366008950882;False;False;9689447.879121037;False;False;0.036;True;False;12.083045973594572;True;False;0.00069;True;False;7.291367744887706;True;False;0x0000020135CDE8D0;False;m;0;True;-1.6294270909954447;False;2.106418070467322;False;0.4769909794718772;False;default;default;default
pipe10_feed;pipe;['network losses'];[None];[-573.6961755288626];['0x0000020135375390'];['component'];[];[];nan;False;False;-573.6961755288626;False;False;0.9598146847034407;False;False;83647788.21616471;False;False;0.036;True;False;104.30723848324239;True;False;0.00069;True;False;7.2913677448879;True;False;0x0000020135CDE860;False;m;0;True;-1.5886394833235578;False;2.1002971829722226;False;0.5116576996486648;False;default;default;default
pipe11_feed;pipe;['network losses'];[None];[-572.0418288157148];['0x0000020135375390'];['component'];[];[];nan;False;False;-572.0418288157148;False;False;0.9635631100661803;False;False;72807076.04815586;False;False;0.036;True;False;90.78546139112804;True;False;0.00069;True;False;7.291367744887633;True;False;0x0000020135CDE780;False;m;0;True;-1.5904106430039244;False;2.094240632676972;False;0.5038299896730474;False;default;default;default
pipe12_feed;pipe;['network losses'];[None];[-570.3800563461297];['0x0000020135375390'];['component'];[];[];nan;False;False;-570.3800563461297;False;False;0.9880881498013444;False;False;22937781.414951205;False;False;0.036;True;False;28.600699292150182;True;False;0.00069;True;False;7.29136774488789;True;False;0x0000020135CDE518;False;m;0;True;-1.6117571337328875;False;2.088156896745853;False;0.47639976301296527;False;default;default;default
pipe13_feed;pipe;['network losses'];[None];[-568.7162417952931];['0x0000020135375390'];['component'];[];[];nan;False;False;-568.7162417952931;False;False;0.979699450241927;False;False;38631035.78356062;False;False;0.036;True;False;48.16637831516918;True;False;0.00069;True;False;7.291367744887804;True;False;0x0000020135CDE9B0;False;m;0;True;-1.6001886612208889;False;2.082065684771346;False;0.48187702355045703;False;default;default;default
pipe14_feed;pipe;['network losses'];[None];[-567.0650582352603];['0x0000020135375390'];['component'];[];[];nan;False;False;-567.0650582352603;False;False;0.9670092629253718;False;False;61513777.66975686;False;False;0.036;True;False;76.69419795525604;True;False;0.00069;True;False;7.291367744886795;True;False;0x0000020135CDE6A0;False;m;0;True;-1.5850257063356532;False;2.076020714754751;False;0.49099500841909793;False;default;default;default
pipe16_feed;pipe;['network losses'];[None];[-563.2533508599652];['0x0000020135375390'];['component'];[];[];nan;False;False;-563.2533508599652;False;False;0.9992210437946359;False;False;18217127.262955114;False;False;0.036;True;False;21.93171219946131;True;False;0.00069;True;False;7.291367744886995;True;False;0x0000020135CDE4A8;False;m;0;True;-1.607262412960021;False;2.062066084056252;False;0.4548036710962309;False;default;default;default
pipe17_feed;pipe;['network losses'];[None];[-511.7600169771076];['0x0000020135375390'];['component'];[];[];nan;False;False;-511.7600169771076;False;False;0.9910030111535891;False;False;210347078.88689435;False;False;0.0217;True;False;16.97056274847714;True;False;0.00069;True;False;6.692425261877929;True;False;0x00000201353B28D0;False;m;0;True;-1.4614967635884004;False;1.873549394021994;False;0.41205263043359364;False;default;default;default
pipe2_back;pipe;['network losses'];[None];[-449.03943292499537];['0x0000020135375390'];['component'];[];[];nan;False;False;-449.03943292499537;False;False;0.9963156489720363;False;False;710224.379087205;False;False;0.0697;True;False;30.14962686336267;True;False;0.00069;True;False;8.522527293294411;True;False;0x00000201353B2048;False;m;0;True;-1.3693307414677136;False;1.6439298294892748;False;0.2745990880215612;False;default;default;default
pipe3_back;pipe;['network losses'];[None];[-449.5738587868065];['0x0000020135375390'];['component'];[];[];nan;False;False;-449.5738587868065;False;False;0.9859613335999464;False;False;2744658.7718731603;False;False;0.0697;True;False;116.51609330903607;True;False;0.00069;True;False;8.52252729329356;True;False;0x00000201353B20F0;False;m;0;True;-1.3455786909807455;False;1.6458863583628283;False;0.3003076673820828;False;default;default;default
pipe7_back;pipe;['network losses'];[None];[-389.2726276767698];['0x0000020135375390'];['component'];[];[];nan;False;False;-389.2726276767698;False;False;0.8693970947563987;False;False;111005691.69400652;False;False;0.036;True;False;137.59360450253493;True;False;0.00069;True;False;7.291367744886099;True;False;0x00000201353B2160;False;m;0;True;-1.1337780887681277;False;1.4251240259079987;False;0.291345937139871;False;default;default;default
pipe6_back;pipe;['network losses'];[None];[-388.15168166110334];['0x0000020135375390'];['component'];[];[];nan;False;False;-388.15168166110334;False;False;0.9824976847514197;False;False;12934055.950320162;False;False;0.036;True;False;16.0312195418814;True;False;0.00069;True;False;7.291367744886471;True;False;0x00000201353B2128;False;m;0;True;-1.1824467667767502;False;1.421020251367759;False;0.2385734845910088;False;default;default;default
pipe19_back;pipe;['network losses'];[None];[-405.21749039644914];['0x0000020135375390'];['component'];[];[];nan;False;False;-405.21749039644914;False;False;0.9807196198191735;False;False;9479514.196244285;False;False;0.0419;True;False;26.68332812825267;True;False;0.00069;True;False;7.674025442364854;True;False;0x00000201353B2080;False;m;0;True;-1.2154020150116842;False;1.4834980428206084;False;0.26809602780892416;False;default;default;default
