label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;dp_char;dp_char_set;dp_char_param;Sirr;Sirr_set
K3_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9018171038747435;False;False;50267810.13440206;False;False;0x00000201362FDB00;False;m;0.17114565839542228;False
K3_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;2.2068177031411604;False;False;-876310101.7385917;False;False;0x00000201362FD518;False;m;-0.4607723719275045;False
K4_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9117703186360576;False;False;21167856872.672276;False;False;0x00000201362FD668;False;m;0.008321559093643755;False
K4_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.2072669177778783;False;False;-98550681.50913982;False;False;0x00000201362FDB38;False;m;-0.2888098143878675;False
K14_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.8694666916710984;False;False;334140820.9197261;False;False;0x00000201362FDBE0;False;m;0.06597259229751434;False
K14_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.7593063719736326;False;False;4774672684.870723;False;False;0x00000201362FDC50;False;m;0.05368162075271809;False
K19_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.8984985077409046;False;False;742999196.4240103;False;False;0x00000201362FDC18;False;m;0.04433402443734884;False
K19_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.9037464282797746;False;False;99188172.81705801;False;False;0x00000201362FDB70;False;m;0.11160182449417562;False
K20_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.907941010028362;False;False;1863420756.9728873;False;False;0x00000201362FDBA8;False;m;0.027957904711463182;False
K20_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.9103553549093195;False;False;5310461311.732353;False;False;0x00000201362FDC88;False;m;0.015866094590918402;False
K23_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9082461932359762;False;False;14625793286.285591;False;False;0x00000201362FDD30;False;m;0.01000357343943805;False
K23_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0257270533200753;False;False;-31184729.179300804;False;False;0x00000201362FDCC0;False;m;-0.026896881087338096;False
K25_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9073132651833994;False;False;20090637376.133564;False;False;0x00000201362FDCF8;False;m;0.00854079934702019;False
K25_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0440824353103122;False;False;-61205313.041753575;False;False;0x00000201362FD8D0;False;m;-0.041229682883079335;False
K27_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9051139537025364;False;False;14272795833.039206;False;False;0x00000201362FD940;False;m;0.010123974404787897;False
K27_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.016677771680606;False;False;-28724507.1171466;False;False;0x00000201362FD978;False;m;-0.014019768715979397;False
K29_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9048051486114709;False;False;28910625872.639996;False;False;0x00000201362FD908;False;m;0.007126018874273723;False
K29_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.015538559141382;False;False;-31516882.602910016;False;False;0x00000201362FDD68;False;m;-0.011988185984598549;False
K31_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.904183919505338;False;False;64394270280.65683;False;False;0x00000201362FDFD0;False;m;0.0047858619798907265;False
K31_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.003338674587059;False;False;-7668410.708855178;False;False;0x00000201362FDDA0;False;m;-0.0024370644454713105;False
K33_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9040505897059136;False;False;13186611042.372183;False;False;0x00000201362FDDD8;False;m;0.010535276541820645;False
K33_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0557574160816734;False;False;-162803457.88962418;False;False;0x00000201362FDE48;False;m;-0.03335964612514188;False
K35_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9015489037810629;False;False;27253284042.809177;False;False;0x00000201362FDE80;False;m;0.007337247379714303;False
K35_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0037127683700093;False;False;-13976063.661295641;False;False;0x00000201362FDE10;False;m;-0.002021201319360528;False
K37_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9015169978271579;False;False;60110968856.97229;False;False;0x00000201362FDEB8;False;m;0.004951669794223454;False
K37_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.015650331129846;False;False;-69180713.7094576;False;False;0x00000201362FDEF0;False;m;-0.007713233465696812;False
K39_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9003188787443183;False;False;3065141495.39168;False;False;0x00000201362FDF60;False;m;0.021805757749011234;False
K39_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.9904776259947968;False;False;118278200.24849138;False;False;0x00000201362FDF98;False;m;0.0028516996060199795;False
K41_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9012199351631618;False;False;11647717695.56246;False;False;0x00000201362FDF28;False;m;0.01120357752652773;False
K41_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;1.0006805927769287;False;False;-19514473.544099927;False;False;0x00000201362FD7F0;False;m;-0.00013404700136842814;False
K43_valve_0;valve;[];[];[];[];[];[];[];nan;False;False;0.9012045064459273;False;False;14979697407.85429;False;False;0x00000201362FD828;False;m;0.009883528132406104;False
K43_valve_1;valve;[];[];[];[];[];[];[];nan;False;False;0.9056576569664808;False;False;10174468733.178307;False;False;0x00000201362FD860;False;m;0.011102154024829775;False
